„Ã„Ê⁄ „‰ Other_Sales, ”„Ì«  «·√⁄„œ…,,,,,,,,,,,,,,,,,,,,
 ”„Ì«  «·’›Ê›,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy,«·≈Ã„«·Ì «·ﬂ·Ì,,,,,,,,
2600,0.22,0.01,0.01,0.03,0.16,0.15,0.01,,0.28,0,0.04,,0.91,,,,,,,,
SAT,0,0,0.05,0,0,0,0.02,0,0,0,0,0,0.07,,,,,,,,
3DO,,0,,,,0,,,,0,,,0,,,,,,,,
3DS,2.84,0.18,0.62,0.4,2.26,0.35,1.06,2.93,0.09,1.4,0.39,0.11,12.63,,,,,,,,
DC,0.03,0.04,0,,0.08,,0.08,0,0,0,0.04,,0.27,,,,,,,,
DS,9.14,3.44,0.21,9.75,6.54,6.41,3.13,6.46,0.55,11.36,2.49,1.05,60.53,,,,,,,,
GB,0.26,0.52,,0.32,1.95,1.01,0.44,3.31,0.04,0.02,0.22,0.11,8.2,,,,,,,,
GBA,1.36,0.33,0.05,0.53,2.27,0.24,0.54,1.83,0.02,0.16,0.24,0.16,7.73,,,,,,,,
GC,0.99,0.18,0.54,0.45,0.74,0.12,0.54,0.34,0.33,0.29,0.56,0.1,5.18,,,,,,,,
GEN,0.08,0,0.17,0,0.56,,0,0,0,,0.08,0,0.89,,,,,,,,
GG,,,,,0,,,,,,,,0,,,,,,,,
N64,0.56,0,0.3,0.13,0.97,0.07,0.58,0.16,0.26,0.33,0.7,0.32,4.38,,,,,,,,
NES,0.45,0.08,0.1,0,1.69,0.43,0.22,1.53,0.52,,0.29,,5.31,,,,,,,,
NG,,,0,,,,,,,,0,,0,,,,,,,,
PC,3.57,0.63,0.02,0.35,0.09,0.16,0.58,5.02,4.39,4.5,1.58,3.97,24.86,,,,,,,,
PCFX,,,,,,,,0,,,,,0,,,,,,,,
PS,7.55,1.25,3.87,2.29,3.25,0.6,5.81,4.3,2.22,1.57,6.75,1.45,40.91,,,,,,,,
PS2,47.64,2.01,12.47,22.42,9.15,0.72,27.37,8.27,13.42,4.46,44.66,0.85,193.44,,,,,,,,
PS3,46.51,3.33,6.69,6.93,5.03,0.05,13.09,8.92,30.21,1.41,19.17,0.59,141.93,,,,,,,,
PS4,13.78,0.71,1.21,1.16,1,0,1.72,3.74,11.82,0.09,8.07,0.06,43.36,,,,,,,,
PSP,11.11,0.58,3.06,1.15,3.27,0.83,7.01,2.99,3.7,1.24,6.03,1.22,42.19,,ps2 and ps3 of the top selling platforms in Europe,,,,,,
PSV,2.82,0.48,0.48,0.66,0.61,0.02,0.56,1.2,0.82,0,0.77,0.03,8.45,,,,,,,,
SCD,,,,0,0.05,,0,0,,,,0,0.05,,,,,,,,
SNES,0.2,0,0.43,0.07,1.78,0.01,0.25,0.24,0.12,0.06,0.06,0,3.22,,,,,,,,
TG16,,0,,,,,,,0,,,,0,,,,,,,,
Wii,10.27,1.43,1.91,19.38,7.13,1.21,5.53,0.76,2.55,3.11,27.06,0.27,80.61,,,,,,,,
WiiU,1.77,0.02,0.67,0.83,1.48,0.1,0.56,0.13,0.55,0.02,0.25,0.07,6.45,,,,,,,,
WS,,,,,,,,0,,,,0,0,,,,,,,,
X360,21.63,1.32,3.17,7.55,1.12,0.06,6.43,6.15,24.53,1.23,11.46,0.89,85.54,,,,,,,,
XB,1.79,0.07,0.42,0.31,0.34,0.01,1.06,0.5,1.89,0.22,2.03,0.08,8.72,,,,,,,,
XOne,2.81,0.2,0.23,0.61,0.07,,0.68,0.83,4.38,0.05,2.03,0.03,11.92,,,,,,,,
«·≈Ã„«·Ì «·ﬂ·Ì,187.38,16.81,36.68,75.32,51.59,12.55,77.27,59.61,102.69,31.52,134.97,11.36,797.75,,,,,,,,
